 do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8555527515763 ;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;RUA DALVA DE OLIVEIRA, N. 188, Apto R9, 0 ;165.500,00;165.500,00;0.00;Apartamento, 0.00 de área total, 56.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527515763
 8444420555413 ;SP ;AMERICANA ;PARQUE LIBERDADE ;RUA SERRA DO PARANAPIACABA, N. 235, 0 ;288.000,00;288.000,00;0.00;Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413
 8787704204766 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA RIO CANINDE, N. 55, Apto 11, PV 01   BL I ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704204766
 8555537739885 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 206, BL 17 ;189.000,00;189.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537739885
 8555538136831 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 306, BLOCO 07 ;177.000,00;177.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538136831
 8444410990281 ;SP ;AMERICANA ;SAO VITO ;RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ;202.053,91;200.000,00;0.00;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281
 8444409946800 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;ESTRADA DA BALSA, N. 2303, Apto 26, 0 ;202.875,91;200.000,00;0.00;Apartamento, 0.00 de área total, 58.66 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409946800
 8555538092524 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 205, BL 17 ;168.011,51;165.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538092524
 8555536414630 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 183, BL 02 ;200.885,07;196.000,00;0.00;Apartamento, 0.00 de área total, 51.75 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536414630
 8787706800382 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 202, BL 15 GB A3B BOX 784 ;175.955,70;169.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706800382
